Channel State,Experiment Time (minutes),State Time (samples),
strand,0,5222
strand,1,58941
strand,2,84413
strand,3,133878
strand,4,181250
strand,5,43397
strand,6,147722
strand,7,55512
strand,8,188035
strand,9,165733
strand,10,115833
strand,11,117278
strand,12,123742
strand,13,160076
strand,14,111674
strand,15,158394
strand,16,133641
strand,17,299686
strand,18,222680
strand,19,144817
strand,20,185175
strand,21,157115
strand,22,350350
strand,23,174642
strand,24,159698
strand,25,181004
strand,26,198954
strand,27,253960
strand,28,217496
strand,29,237372
strand,30,218988
strand,31,184188
strand,32,293862
strand,33,137004
strand,34,153989
strand,35,193601
strand,36,373709
strand,37,236945
strand,38,242296
strand,39,255715
strand,40,193757
strand,41,231579
strand,42,328321
strand,43,303700
strand,44,318568
strand,45,107374
strand,46,297462
strand,47,268766
strand,48,261537
strand,49,237487
strand,50,326322
strand,51,281641
strand,52,212282
strand,53,279761
strand,54,205081
strand,55,393536
strand,56,230871
strand,57,261106
strand,58,324400
strand,59,179177
strand,60,410220
strand,61,213588
strand,62,323609
strand,63,315168
strand,64,196449
strand,65,242877
strand,66,348217
strand,67,386043
strand,68,329007
strand,69,308075
strand,70,369435
strand,71,344968
strand,72,274342
strand,73,187571
strand,74,317273
strand,75,229304
strand,76,271163
strand,77,359703
strand,78,272758
strand,79,354511
strand,80,297005
strand,81,414980
strand,82,379300
strand,83,336946
strand,84,278722
strand,85,315321
strand,86,260189
strand,87,206855
strand,88,467795
strand,89,377663
strand,90,302176
strand,91,429098
strand,92,216243
strand,93,493263
strand,94,444337
strand,95,236234
strand,96,339408
strand,97,283868
strand,98,403098
strand,99,321942
strand,100,255857
strand,101,363194
strand,102,384120
strand,103,334665
strand,104,411798
strand,105,320102
strand,106,426649
strand,107,382747
strand,108,308964
strand,109,289285
strand,110,309790
strand,111,566994
strand,112,231320
strand,113,541480
strand,114,396338
strand,115,615698
strand,116,369811
strand,117,401819
strand,118,523567
strand,119,426514
strand,120,400025
strand,121,292375
strand,122,357303
strand,123,387872
strand,124,509458
strand,125,436585
strand,126,363578
strand,127,518787
strand,128,333073
strand,129,468983
strand,130,322894
strand,131,387080
strand,132,401582
strand,133,325188
strand,134,403501
strand,135,498479
strand,136,454043
strand,137,351970
strand,138,520588
strand,139,349788
strand,140,192649
strand,141,491265
strand,142,306894
strand,143,403002
strand,144,423712
strand,145,335454
strand,146,467552
strand,147,335621
strand,148,432626
strand,149,409879
strand,150,496076
strand,151,534841
strand,152,308277
strand,153,530147
strand,154,422421
strand,155,354573
strand,156,414509
strand,157,403769
strand,158,419346
strand,159,272581
strand,160,408198
strand,161,443210
strand,162,451399
strand,163,493691
