Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples,
118,2986,0,0,0,33177693,1651786,2971995,0,0,
119,3025,0,0,0,33602528,1673396,3010880,0,0,
120,3057,0,0,0,33997358,1693364,3046806,0,0,
121,3085,0,0,0,34304892,1708870,3074707,0,0,
122,3125,0,0,0,34689705,1727469,3108168,0,0,
123,3160,0,0,0,35084796,1747676,3144528,0,0,
124,3204,0,0,0,35610337,1774215,3192280,0,0,
125,3234,0,0,0,36082686,1797812,3234744,0,0,
126,3268,0,0,0,36422475,1814952,3265584,0,0,
127,3305,0,0,0,36960669,1842292,3314782,0,0,
128,3336,0,0,0,37287242,1858459,3343870,0,0,
129,3376,0,0,0,37803362,1884496,3390723,0,0,
130,3413,0,0,0,38128117,1900433,3419398,0,0,
131,3452,0,0,0,38524667,1919855,3454342,0,0,
132,3484,0,0,0,38943837,1941463,3493221,0,0,
133,3513,0,0,0,39263253,1957345,3521798,0,0,
134,3551,0,0,0,39652018,1976635,3556504,0,0,
135,3596,0,0,0,40159536,2002182,3602473,0,0,
136,3632,0,0,0,40628466,2025577,3644567,0,0,
137,3660,0,0,0,40989518,2043325,3676500,0,0,
138,3702,0,0,0,41466561,2066586,3718356,0,0,
139,3735,0,0,0,41816381,2083935,3749573,0,0,
140,3756,0,0,0,42089992,2098052,3774976,0,0,
141,3798,0,0,0,42595092,2123129,3820099,0,0,
142,3827,0,0,0,42878211,2137612,3846157,0,0,
143,3865,0,0,0,43261647,2156968,3880980,0,0,
144,3903,0,0,0,43734185,2181113,3924424,0,0,
145,3934,0,0,0,44089179,2198879,3956387,0,0,
146,3965,0,0,0,44553427,2222616,3999099,0,0,
147,3995,0,0,0,44879320,2238229,4027188,0,0,
148,4030,0,0,0,45322945,2261083,4068312,0,0,
149,4067,0,0,0,45734484,2282046,4106027,0,0,
150,4096,0,0,0,46238565,2307926,4152600,0,0,
151,4133,0,0,0,46803772,2332654,4197095,0,0,
152,4166,0,0,0,47131902,2348782,4226112,0,0,
153,4203,0,0,0,47642667,2375161,4273579,0,0,
154,4241,0,0,0,48095165,2395712,4310558,0,0,
155,4279,0,0,0,48520045,2416677,4348279,0,0,
156,4309,0,0,0,48926924,2437758,4386217,0,0,
