#Coverage (X)	Coverage
1.0	0.008628653001068187
2.0	0.004251829162100762
3.0	0.00368222622668668
4.0	0.0031337298485567544
5.0	0.0027113245918286566
6.0	0.0024194876050245284
7.0	0.0022140869956501774
8.0	0.002018188905580587
9.0	0.0019087271929407734
10.0	0.0018510724845270943
11.0	0.0017974380727423522
12.0	0.0017537630321413644
13.0	0.001713011843634149
14.0	0.0016738139515410921
15.0	0.001633793726043109
16.0	0.0016005349085048692
17.0	0.0015798852031139177
18.0	0.0015560375344989552
19.0	0.0015364842736431683
20.0	0.0015145553829682967
21.0	0.0014897940105811358
22.0	0.0014694184163204227
23.0	0.0014469413033708634
24.0	0.0014295809315854058
25.0	0.0014124946709301867
26.0	0.001393763743479326
27.0	0.00137740844584755
28.0	0.0013664440005101142
29.0	0.0013599567036806093
30.0	0.0013540176291257922
31.0	0.0013505455547715428
32.0	0.0013461597766308842
33.0	0.0013424135911463964
34.0	0.001337570961126744
35.0	0.0013325455903441252
36.0	0.001326423775026342
37.0	0.0013159161815821108
38.0	0.001301114180378704
39.0	0.001279459400834071
40.0	0.0012525051393765807
41.0	0.0012183326180661425
42.0	0.0011759367627490747
43.0	0.0011289723885425929
44.0	0.001088495311165616
45.0	0.0010594395310192795
46.0	0.001035500492022834
47.0	0.0010122924160498314
48.0	9.91094488398403E-4
49.0	9.656021529877989E-4
50.0	9.3490170603161E-4
51.0	9.068510000389551E-4
