filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	8febd6c7-606b-4c43-b13a-a4f3df89da83	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	100	1	25827.137000	5.177750	4142	TRUE	25827.219500	4076	5.095250	2027	13.487246	3.100191	69.172577	9.185518	69.172577	9.185518
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	1dc5fbc6-b6d0-4ba6-b221-c509943e3976	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	22	1	27020.410750	0.970250	776	FALSE	27020.595750	628	0.785250	232	8.724856	2.690765	64.861008	8.060761	64.861008	8.060761
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	67447617-bdcc-4b06-8840-15c55625086c	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	62	1	25697.670750	3.901000	3120	TRUE	25698.513250	2446	3.058500	1206	9.836492	3.004940	67.672897	8.623139	67.672897	8.623139
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	9a9e4b69-0df3-4030-8f09-4170ca1d3d57	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	109	1	26118.335250	1.235000	988	FALSE	26118.335250	988	1.235000	225	4.648849	2.241691	74.608902	2.249515	74.608902	2.249515
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	6c802b69-7c62-4eb0-a380-ed795fcd33ea	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	35	1	34655.976750	1.719000	1375	FALSE	34656.579250	893	1.116500	453	8.845941	2.963163	68.985115	8.623139	68.985115	8.623139
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	4dfc2dc5-7d95-44de-9157-662ac966ec4b	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	99	1	31892.866000	2.851750	2281	FALSE	31893.011000	2165	2.706750	1072	6.766142	2.892605	64.298630	8.248220	64.298630	8.248220
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	ca630a74-4be7-4713-8d73-582b8b50017f	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	84	1	35076.021750	1.465500	1172	FALSE	35076.123000	1091	1.364250	597	8.960718	3.066904	88.668373	11.435033	88.668373	11.435033
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	715e2c8d-0e31-46b9-b862-2f20d7959047	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	83	1	25948.583500	1.350500	1080	TRUE	25948.674750	1007	1.259250	585	12.022770	3.207064	76.670959	10.122816	76.670959	10.122816
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	3c27cfcd-be1a-42db-afca-0fe84fcb5955	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	22	1	33011.557500	15.736000	12588	TRUE	33012.231250	12049	15.062250	4462	9.122667	2.715950	64.298630	8.998058	64.298630	8.998058
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	db7ad9c3-293d-43fa-9c9c-61a3bff024c2	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	84	1	38226.340500	4.813500	3850	TRUE	38226.351750	3841	4.802250	1890	13.096755	3.052294	88.105995	10.685195	88.105995	10.685195
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	064df200-cd28-40aa-aa9a-8cb1fde686c5	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	35	1	29970.277500	2.193000	1754	FALSE	29970.501250	1575	1.969250	624	6.284421	2.571833	63.361332	8.998058	63.361332	8.998058
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	a3e9d436-d7ea-4d98-902f-ec069b1dcf8e	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	21	1	37479.164500	2.475250	1980	FALSE	37479.164500	1980	2.475250	422	4.762203	2.222159	68.985115	2.249515	68.985115	2.249515
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	e993b229-b31c-41fa-9aa1-ffb27d62ee9f	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	99	1	22252.331750	2.717000	2173	FALSE	22252.871750	1741	2.177000	862	6.280111	2.728524	67.110519	8.810599	67.110519	8.810599
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	c4107690-d0bc-4794-9061-04c7ebd82ffe	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	109	1	31118.249500	4.104000	3283	FALSE	31118.303250	3240	4.050250	1712	5.357904	2.739790	73.671608	8.435680	73.671608	8.435680
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	671c3ea6-92e4-4b30-9880-c744bdcc5ee0	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	16	1	23635.284000	1.024000	819	FALSE	23635.346500	769	0.961500	435	8.597987	3.028767	82.482208	10.872654	82.482208	10.872654
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	cd7a979c-bcf4-40e3-a4fe-f934206509a8	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	122	1	33112.114000	1.408750	1127	TRUE	33112.347750	940	1.175000	504	9.000328	3.044734	77.420799	9.747897	77.420799	9.747897
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	2c1ca7f0-a93a-454f-8144-134b94201906	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	36	1	28591.905750	1.371250	1097	FALSE	28591.985750	1033	1.291250	564	8.801641	3.036254	74.233986	9.372978	74.233986	9.372978
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	c87f8fd2-4db8-42d1-ae1a-f79813c2cf77	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	35	1	31469.135500	1.568500	1254	FALSE	31469.203000	1200	1.501000	485	8.265643	2.754210	70.484795	8.248220	70.484795	8.248220
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	709d7d46-c2ba-4953-be46-3dcd6d21db14	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	88	1	26458.545000	0.933500	746	FALSE	26458.643750	667	0.834750	393	7.997944	3.047716	75.358742	9.372978	75.358742	9.372978
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	3b082a6b-9d19-4c49-afee-c6210fc33139	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	36	1	39977.968250	0.915750	732	FALSE	39978.020750	690	0.863250	360	6.700776	2.882909	70.672256	8.248220	70.672256	8.248220
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	277353c6-384f-4ecf-955c-b882d81374ac	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	84	1	23045.484250	2.831000	2264	FALSE	23045.521750	2234	2.793500	1257	8.806527	3.119225	82.294746	9.935356	82.294746	9.935356
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	b2fef16c-3537-4857-96e6-78b735c371d3	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	114	1	33905.839000	1.411750	1129	FALSE	33905.885250	1092	1.365500	612	8.667603	3.022147	70.859711	9.372978	70.859711	9.372978
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	71179334-800f-44db-b74c-b20c4094091f	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	107	1	31842.427500	8.767000	7013	TRUE	31842.517500	6941	8.677000	3560	9.226300	3.019001	73.296684	9.747897	73.296684	9.747897
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	58169ecc-9681-4809-bbd7-5e0b43d11f77	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	83	1	28325.406250	2.169750	1735	TRUE	28325.632500	1554	1.943500	858	9.464952	3.056219	74.608902	9.935356	74.608902	9.935356
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	d244413d-d9db-4e2f-9017-9da19084e789	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	89	1	28761.614000	2.247750	1798	FALSE	28762.139000	1378	1.722750	321	8.139271	2.411062	67.485443	8.435680	67.485443	8.435680
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	ebd6d7ad-2845-431a-89bc-c201c2dc08ec	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	24	1	32226.336250	0.680500	544	FALSE	32226.422500	475	0.594250	266	5.647372	2.870560	62.049114	7.685842	62.049114	7.685842
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	8413c677-cb7e-44fc-a794-7f3d1696ef0a	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	89	1	31557.926750	0.778500	622	TRUE	31558.149250	444	0.556000	188	11.764622	2.871494	65.235924	10.310276	65.235924	10.310276
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	d67a4aaf-3b50-4147-98a8-6ef56b15c8bb	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	100	1	22441.529250	1.290000	1032	FALSE	22441.721750	878	1.097500	411	7.929793	2.878002	74.608902	9.372978	74.608902	9.372978
AJF976_94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b_1.fast5	b34d934f-1d6a-45ed-a9d4-b524a4bd333d	94dd8d03aa43bb3ac59d61d6b73a0ac5e939526b	0	124	1	22298.936750	4.225250	3380	FALSE	22299.485500	2941	3.676500	1756	8.195760	3.109891	71.797012	9.747897	71.797012	9.747897
